,PARIS_1er_Les_Halles,OBJECTID
,PA01H,0
,ozone,1
,O3,2
,microg/m3,3
2019-01-01 01:00:00Z,,4
2019-01-01 02:00:00Z,,5
2019-01-01 03:00:00Z,,6
2019-01-01 04:00:00Z,,7
2019-01-01 05:00:00Z,,8
2019-01-01 06:00:00Z,,9
2019-01-01 07:00:00Z,,10
2019-01-01 08:00:00Z,,11
2019-01-01 09:00:00Z,,12
2019-01-01 10:00:00Z,,13
2019-01-01 11:00:00Z,,14
2019-01-01 12:00:00Z,,15
2019-01-01 13:00:00Z,,16
2019-01-01 14:00:00Z,,17
2019-01-01 15:00:00Z,,18
2019-01-01 16:00:00Z,,19
2019-01-01 17:00:00Z,,20
2019-01-01 18:00:00Z,,21
2019-01-01 19:00:00Z,,22
2019-01-01 20:00:00Z,,23
2019-01-01 21:00:00Z,,24
2019-01-01 22:00:00Z,,25
2019-01-01 23:00:00Z,,26
2019-01-02 00:00:00Z,,27
2019-01-02 01:00:00Z,,28
2019-01-02 02:00:00Z,,29
2019-01-02 03:00:00Z,,30
2019-01-02 04:00:00Z,,31
2019-01-02 05:00:00Z,,32
2019-01-02 06:00:00Z,,33
2019-01-02 07:00:00Z,,34
2019-01-02 08:00:00Z,,35
2019-01-02 09:00:00Z,,36
2019-01-02 10:00:00Z,,37
2019-01-02 11:00:00Z,,38
2019-01-02 12:00:00Z,,39
2019-01-02 13:00:00Z,,40
2019-01-02 14:00:00Z,,41
2019-01-02 15:00:00Z,,42
2019-01-02 16:00:00Z,,43
2019-01-02 17:00:00Z,,44
2019-01-02 18:00:00Z,,45
2019-01-02 19:00:00Z,,46
2019-01-02 20:00:00Z,,47
2019-01-02 21:00:00Z,,48
2019-01-02 22:00:00Z,,49
2019-01-02 23:00:00Z,,50
2019-01-03 00:00:00Z,,51
2019-01-03 01:00:00Z,,52
2019-01-03 02:00:00Z,,53
2019-01-03 03:00:00Z,,54
2019-01-03 04:00:00Z,,55
2019-01-03 05:00:00Z,,56
2019-01-03 06:00:00Z,,57
2019-01-03 07:00:00Z,,58
2019-01-03 08:00:00Z,,59
2019-01-03 09:00:00Z,,60
2019-01-03 10:00:00Z,,61
2019-01-03 11:00:00Z,,62
2019-01-03 12:00:00Z,,63
2019-01-03 13:00:00Z,,64
2019-01-03 14:00:00Z,,65
2019-01-03 15:00:00Z,,66
2019-01-03 16:00:00Z,,67
2019-01-03 17:00:00Z,,68
2019-01-03 18:00:00Z,,69
2019-01-03 19:00:00Z,,70
2019-01-03 20:00:00Z,,71
2019-01-03 21:00:00Z,,72
2019-01-03 22:00:00Z,,73
2019-01-03 23:00:00Z,,74
2019-01-04 00:00:00Z,,75
2019-01-04 01:00:00Z,,76
2019-01-04 02:00:00Z,,77
2019-01-04 03:00:00Z,,78
2019-01-04 04:00:00Z,,79
2019-01-04 05:00:00Z,,80
2019-01-04 06:00:00Z,,81
2019-01-04 07:00:00Z,,82
2019-01-04 08:00:00Z,,83
2019-01-04 09:00:00Z,,84
2019-01-04 10:00:00Z,,85
2019-01-04 11:00:00Z,,86
2019-01-04 12:00:00Z,,87
2019-01-04 13:00:00Z,,88
2019-01-04 14:00:00Z,,89
2019-01-04 15:00:00Z,,90
2019-01-04 16:00:00Z,,91
2019-01-04 17:00:00Z,,92
2019-01-04 18:00:00Z,,93
2019-01-04 19:00:00Z,,94
2019-01-04 20:00:00Z,,95
2019-01-04 21:00:00Z,,96
2019-01-04 22:00:00Z,,97
2019-01-04 23:00:00Z,,98
2019-01-05 00:00:00Z,,99
2019-01-05 01:00:00Z,,100
2019-01-05 02:00:00Z,,101
2019-01-05 03:00:00Z,,102
2019-01-05 04:00:00Z,,103
2019-01-05 05:00:00Z,,104
2019-01-05 06:00:00Z,,105
2019-01-05 07:00:00Z,,106
2019-01-05 08:00:00Z,,107
2019-01-05 09:00:00Z,,108
2019-01-05 10:00:00Z,,109
2019-01-05 11:00:00Z,,110
2019-01-05 12:00:00Z,,111
2019-01-05 13:00:00Z,,112
2019-01-05 14:00:00Z,,113
2019-01-05 15:00:00Z,,114
2019-01-05 16:00:00Z,,115
2019-01-05 17:00:00Z,,116
2019-01-05 18:00:00Z,,117
2019-01-05 19:00:00Z,,118
2019-01-05 20:00:00Z,,119
2019-01-05 21:00:00Z,,120
2019-01-05 22:00:00Z,,121
2019-01-05 23:00:00Z,,122
2019-01-06 00:00:00Z,,123
2019-01-06 01:00:00Z,,124
2019-01-06 02:00:00Z,,125
2019-01-06 03:00:00Z,,126
2019-01-06 04:00:00Z,,127
2019-01-06 05:00:00Z,,128
2019-01-06 06:00:00Z,,129
2019-01-06 07:00:00Z,,130
2019-01-06 08:00:00Z,,131
2019-01-06 09:00:00Z,,132
2019-01-06 10:00:00Z,,133
2019-01-06 11:00:00Z,,134
2019-01-06 12:00:00Z,,135
2019-01-06 13:00:00Z,,136
2019-01-06 14:00:00Z,,137
2019-01-06 15:00:00Z,,138
2019-01-06 16:00:00Z,,139
2019-01-06 17:00:00Z,,140
2019-01-06 18:00:00Z,,141
2019-01-06 19:00:00Z,,142
2019-01-06 20:00:00Z,,143
2019-01-06 21:00:00Z,,144
2019-01-06 22:00:00Z,,145
2019-01-06 23:00:00Z,,146
2019-01-07 00:00:00Z,,147
2019-01-07 01:00:00Z,,148
2019-01-07 02:00:00Z,,149
2019-01-07 03:00:00Z,,150
2019-01-07 04:00:00Z,,151
2019-01-07 05:00:00Z,,152
2019-01-07 06:00:00Z,,153
