,PARIS_12ème,OBJECTID
,PA12,0
,oxydes d azote,1
,NOX,2
,microg/m3,3
2019-01-01 01:00:00Z,37.600000,4
2019-01-01 02:00:00Z,39.600000,5
2019-01-01 03:00:00Z,44.100000,6
2019-01-01 04:00:00Z,33.900000,7
2019-01-01 05:00:00Z,30.600000,8
2019-01-01 06:00:00Z,32.400000,9
2019-01-01 07:00:00Z,31.500000,10
2019-01-01 08:00:00Z,32.200000,11
2019-01-01 09:00:00Z,25.100000,12
2019-01-01 10:00:00Z,26.900000,13
2019-01-01 11:00:00Z,23.800000,14
2019-01-01 12:00:00Z,25.600000,15
2019-01-01 13:00:00Z,25.600000,16
2019-01-01 14:00:00Z,36.500000,17
2019-01-01 15:00:00Z,38.800000,18
2019-01-01 16:00:00Z,43.800000,19
2019-01-01 17:00:00Z,36.500000,20
2019-01-01 18:00:00Z,53.700000,21
2019-01-01 19:00:00Z,58.700000,22
2019-01-01 20:00:00Z,47.800000,23
2019-01-01 21:00:00Z,51.200000,24
2019-01-01 22:00:00Z,57.800000,25
2019-01-01 23:00:00Z,28.800000,26
2019-01-02 00:00:00Z,16.900000,27
2019-01-02 01:00:00Z,14.200000,28
2019-01-02 02:00:00Z,16.700000,29
2019-01-02 03:00:00Z,18.600000,30
2019-01-02 04:00:00Z,20.100000,31
2019-01-02 05:00:00Z,21.300000,32
2019-01-02 06:00:00Z,26.700000,33
2019-01-02 07:00:00Z,40,34
2019-01-02 08:00:00Z,48.700000,35
2019-01-02 09:00:00Z,53.700000,36
2019-01-02 10:00:00Z,42.500000,37
2019-01-02 11:00:00Z,43.500000,38
2019-01-02 12:00:00Z,36.100000,39
2019-01-02 13:00:00Z,36.700000,40
2019-01-02 14:00:00Z,34.300000,41
2019-01-02 15:00:00Z,33.700000,42
2019-01-02 16:00:00Z,38.300000,43
2019-01-02 17:00:00Z,41.600000,44
2019-01-02 18:00:00Z,41.500000,45
2019-01-02 19:00:00Z,48.100000,46
2019-01-02 20:00:00Z,35.200000,47
2019-01-02 21:00:00Z,38.200000,48
2019-01-02 22:00:00Z,38.200000,49
2019-01-02 23:00:00Z,31.700000,50
2019-01-03 00:00:00Z,27.300000,51
2019-01-03 01:00:00Z,28.300000,52
2019-01-03 02:00:00Z,23.300000,53
2019-01-03 03:00:00Z,22.300000,54
2019-01-03 04:00:00Z,27.600000,55
2019-01-03 05:00:00Z,31.100000,56
2019-01-03 06:00:00Z,39.100000,57
2019-01-03 07:00:00Z,52.800000,58
2019-01-03 08:00:00Z,69.700000,59
2019-01-03 09:00:00Z,66.400000,60
2019-01-03 10:00:00Z,68,61
2019-01-03 11:00:00Z,70.600000,62
2019-01-03 12:00:00Z,61.500000,63
2019-01-03 13:00:00Z,54.200000,64
2019-01-03 14:00:00Z,39.500000,65
2019-01-03 15:00:00Z,43,66
2019-01-03 16:00:00Z,41.300000,67
2019-01-03 17:00:00Z,48.300000,68
2019-01-03 18:00:00Z,43,69
2019-01-03 19:00:00Z,43.500000,70
2019-01-03 20:00:00Z,40.600000,71
2019-01-03 21:00:00Z,37.300000,72
2019-01-03 22:00:00Z,36.100000,73
2019-01-03 23:00:00Z,33.400000,74
2019-01-04 00:00:00Z,31.900000,75
2019-01-04 01:00:00Z,39.700000,76
2019-01-04 02:00:00Z,42.600000,77
2019-01-04 03:00:00Z,38.500000,78
2019-01-04 04:00:00Z,34.500000,79
2019-01-04 05:00:00Z,37.700000,80
2019-01-04 06:00:00Z,50.100000,81
2019-01-04 07:00:00Z,62.400000,82
2019-01-04 08:00:00Z,77.900000,83
2019-01-04 09:00:00Z,96.900000,84
2019-01-04 10:00:00Z,94.300000,85
2019-01-04 11:00:00Z,74.700000,86
2019-01-04 12:00:00Z,77.800000,87
2019-01-04 13:00:00Z,56.900000,88
2019-01-04 14:00:00Z,51,89
2019-01-04 15:00:00Z,41.500000,90
2019-01-04 16:00:00Z,39,91
2019-01-04 17:00:00Z,45.300000,92
2019-01-04 18:00:00Z,39.100000,93
2019-01-04 19:00:00Z,39.500000,94
2019-01-04 20:00:00Z,33.200000,95
2019-01-04 21:00:00Z,41.600000,96
2019-01-04 22:00:00Z,34.700000,97
2019-01-04 23:00:00Z,32.700000,98
2019-01-05 00:00:00Z,27.400000,99
2019-01-05 01:00:00Z,24.900000,100
2019-01-05 02:00:00Z,25.100000,101
2019-01-05 03:00:00Z,27.100000,102
2019-01-05 04:00:00Z,23.800000,103
2019-01-05 05:00:00Z,20.100000,104
2019-01-05 06:00:00Z,27.200000,105
2019-01-05 07:00:00Z,26,106
2019-01-05 08:00:00Z,44.300000,107
2019-01-05 09:00:00Z,46.200000,108
2019-01-05 10:00:00Z,55.600000,109
2019-01-05 11:00:00Z,62.300000,110
2019-01-05 12:00:00Z,56.100000,111
2019-01-05 13:00:00Z,60.900000,112
2019-01-05 14:00:00Z,60.100000,113
2019-01-05 15:00:00Z,50.100000,114
2019-01-05 16:00:00Z,38.100000,115
2019-01-05 17:00:00Z,41.500000,116
2019-01-05 18:00:00Z,45.100000,117
2019-01-05 19:00:00Z,41.800000,118
2019-01-05 20:00:00Z,43.200000,119
2019-01-05 21:00:00Z,32.900000,120
2019-01-05 22:00:00Z,34.800000,121
2019-01-05 23:00:00Z,27.900000,122
2019-01-06 00:00:00Z,33.100000,123
2019-01-06 01:00:00Z,32.300000,124
2019-01-06 02:00:00Z,27.600000,125
2019-01-06 03:00:00Z,26.700000,126
2019-01-06 04:00:00Z,19.600000,127
2019-01-06 05:00:00Z,19.800000,128
2019-01-06 06:00:00Z,23.500000,129
2019-01-06 07:00:00Z,33.600000,130
2019-01-06 08:00:00Z,42.300000,131
2019-01-06 09:00:00Z,53.400000,132
2019-01-06 10:00:00Z,67.300000,133
2019-01-06 11:00:00Z,66.100000,134
2019-01-06 12:00:00Z,71.400000,135
2019-01-06 13:00:00Z,76.500000,136
2019-01-06 14:00:00Z,87.200000,137
2019-01-06 15:00:00Z,81.600000,138
2019-01-06 16:00:00Z,78.400000,139
2019-01-06 17:00:00Z,80.200000,140
2019-01-06 18:00:00Z,89.600000,141
2019-01-06 19:00:00Z,84.200000,142
2019-01-06 20:00:00Z,66.200000,143
2019-01-06 21:00:00Z,67.100000,144
2019-01-06 22:00:00Z,74.300000,145
2019-01-06 23:00:00Z,59.500000,146
2019-01-07 00:00:00Z,47.400000,147
2019-01-07 01:00:00Z,40.600000,148
2019-01-07 02:00:00Z,32.400000,149
2019-01-07 03:00:00Z,27.700000,150
2019-01-07 04:00:00Z,25,151
2019-01-07 05:00:00Z,27.700000,152
2019-01-07 06:00:00Z,45.900000,153
2019-01-07 07:00:00Z,62.500000,154
2019-01-07 08:00:00Z,81.900000,155
2019-01-07 09:00:00Z,157.500000,156
2019-01-07 10:00:00Z,137.600000,157
2019-01-07 11:00:00Z,118.300000,158
2019-01-07 12:00:00Z,,159
2019-01-07 13:00:00Z,,160
2019-01-07 14:00:00Z,71.500000,161
2019-01-07 15:00:00Z,57.400000,162
2019-01-07 16:00:00Z,55.500000,163
2019-01-07 17:00:00Z,67.400000,164
2019-01-07 18:00:00Z,76.100000,165
2019-01-07 19:00:00Z,67.200000,166
2019-01-07 20:00:00Z,52.200000,167
2019-01-07 21:00:00Z,38.700000,168
2019-01-07 22:00:00Z,28.500000,169
2019-01-07 23:00:00Z,20.900000,170
2019-01-08 00:00:00Z,16.800000,171
2019-01-08 01:00:00Z,16.500000,172
2019-01-08 02:00:00Z,14.700000,173
2019-01-08 03:00:00Z,12.700000,174
2019-01-08 04:00:00Z,13.200000,175
2019-01-08 05:00:00Z,22,176
2019-01-08 06:00:00Z,36.600000,177
2019-01-08 07:00:00Z,64.300000,178
2019-01-08 08:00:00Z,65.800000,179
2019-01-08 09:00:00Z,63.800000,180
2019-01-08 10:00:00Z,62.600000,181
2019-01-08 11:00:00Z,58.500000,182
2019-01-08 12:00:00Z,49.700000,183
2019-01-08 13:00:00Z,43.200000,184
2019-01-08 14:00:00Z,45.700000,185
2019-01-08 15:00:00Z,42.400000,186
2019-01-08 16:00:00Z,51.200000,187
2019-01-08 17:00:00Z,52.800000,188
2019-01-08 18:00:00Z,65.700000,189
2019-01-08 19:00:00Z,60.100000,190
2019-01-08 20:00:00Z,61.700000,191
2019-01-08 21:00:00Z,51.400000,192
2019-01-08 22:00:00Z,45.500000,193
2019-01-08 23:00:00Z,42.300000,194
2019-01-09 00:00:00Z,30.500000,195
2019-01-09 01:00:00Z,23.500000,196
2019-01-09 02:00:00Z,20.800000,197
2019-01-09 03:00:00Z,19.200000,198
2019-01-09 04:00:00Z,18.500000,199
2019-01-09 05:00:00Z,20.700000,200
2019-01-09 06:00:00Z,35.100000,201
2019-01-09 07:00:00Z,46.600000,202
2019-01-09 08:00:00Z,67.700000,203
2019-01-09 09:00:00Z,65.200000,204
2019-01-09 10:00:00Z,47.300000,205
2019-01-09 11:00:00Z,40.400000,206
2019-01-09 12:00:00Z,41,207
2019-01-09 13:00:00Z,38.900000,208
2019-01-09 14:00:00Z,32.300000,209
2019-01-09 15:00:00Z,29,210
2019-01-09 16:00:00Z,34.200000,211
2019-01-09 17:00:00Z,63.200000,212
2019-01-09 18:00:00Z,66.400000,213
2019-01-09 19:00:00Z,65.400000,214
2019-01-09 20:00:00Z,54.800000,215
2019-01-09 21:00:00Z,51.300000,216
2019-01-09 22:00:00Z,43.500000,217
2019-01-09 23:00:00Z,37.500000,218
2019-01-10 00:00:00Z,34.200000,219
2019-01-10 01:00:00Z,28.700000,220
2019-01-10 02:00:00Z,29.800000,221
2019-01-10 03:00:00Z,33.900000,222
2019-01-10 04:00:00Z,34.700000,223
2019-01-10 05:00:00Z,38.300000,224
2019-01-10 06:00:00Z,55.600000,225
2019-01-10 07:00:00Z,80.100000,226
2019-01-10 08:00:00Z,102.300000,227
2019-01-10 09:00:00Z,108.300000,228
2019-01-10 10:00:00Z,113,229
2019-01-10 11:00:00Z,90.800000,230
2019-01-10 12:00:00Z,73.700000,231
2019-01-10 13:00:00Z,52.500000,232
2019-01-10 14:00:00Z,46.900000,233
2019-01-10 15:00:00Z,40.400000,234
2019-01-10 16:00:00Z,47.800000,235
2019-01-10 17:00:00Z,57.400000,236
2019-01-10 18:00:00Z,62.500000,237
2019-01-10 19:00:00Z,70.600000,238
2019-01-10 20:00:00Z,61.500000,239
2019-01-10 21:00:00Z,48.100000,240
2019-01-10 22:00:00Z,44.800000,241
2019-01-10 23:00:00Z,42.700000,242
2019-01-11 00:00:00Z,35.900000,243
2019-01-11 01:00:00Z,27.400000,244
2019-01-11 02:00:00Z,42,245
2019-01-11 03:00:00Z,41.100000,246
2019-01-11 04:00:00Z,35.200000,247
2019-01-11 05:00:00Z,41.300000,248
2019-01-11 06:00:00Z,55.800000,249
2019-01-11 07:00:00Z,75.900000,250
2019-01-11 08:00:00Z,106,251
2019-01-11 09:00:00Z,100.900000,252
2019-01-11 10:00:00Z,93.400000,253
2019-01-11 11:00:00Z,98.600000,254
2019-01-11 12:00:00Z,126.100000,255
2019-01-11 13:00:00Z,119.700000,256
2019-01-11 14:00:00Z,111.200000,257
2019-01-11 15:00:00Z,99.700000,258
2019-01-11 16:00:00Z,98.100000,259
2019-01-11 17:00:00Z,106.700000,260
2019-01-11 18:00:00Z,118.700000,261
2019-01-11 19:00:00Z,98.800000,262
2019-01-11 20:00:00Z,76.900000,263
2019-01-11 21:00:00Z,61.600000,264
2019-01-11 22:00:00Z,56.700000,265
2019-01-11 23:00:00Z,62.900000,266
2019-01-12 00:00:00Z,54.500000,267
2019-01-12 01:00:00Z,44.400000,268
2019-01-12 02:00:00Z,45.700000,269
2019-01-12 03:00:00Z,36.800000,270
2019-01-12 04:00:00Z,37.700000,271
2019-01-12 05:00:00Z,32.900000,272
2019-01-12 06:00:00Z,35.400000,273
2019-01-12 07:00:00Z,40.100000,274
2019-01-12 08:00:00Z,42,275
2019-01-12 09:00:00Z,42.700000,276
2019-01-12 10:00:00Z,52.800000,277
2019-01-12 11:00:00Z,42.200000,278
2019-01-12 12:00:00Z,36,279
2019-01-12 13:00:00Z,32.900000,280
2019-01-12 14:00:00Z,31,281
2019-01-12 15:00:00Z,34,282
2019-01-12 16:00:00Z,37.900000,283
2019-01-12 17:00:00Z,37.400000,284
2019-01-12 18:00:00Z,40.400000,285
2019-01-12 19:00:00Z,46.400000,286
2019-01-12 20:00:00Z,46,287
2019-01-12 21:00:00Z,37.900000,288
2019-01-12 22:00:00Z,31.400000,289
2019-01-12 23:00:00Z,36,290
2019-01-13 00:00:00Z,28.400000,291
2019-01-13 01:00:00Z,25.300000,292
2019-01-13 02:00:00Z,26.300000,293
2019-01-13 03:00:00Z,21.400000,294
2019-01-13 04:00:00Z,17.800000,295
2019-01-13 05:00:00Z,14.500000,296
2019-01-13 06:00:00Z,17.400000,297
2019-01-13 07:00:00Z,17.800000,298
2019-01-13 08:00:00Z,19.200000,299
2019-01-13 09:00:00Z,21.100000,300
2019-01-13 10:00:00Z,24.800000,301
2019-01-13 11:00:00Z,27.100000,302
2019-01-13 12:00:00Z,26.600000,303
2019-01-13 13:00:00Z,24.900000,304
2019-01-13 14:00:00Z,25.700000,305
