,Paris_stade_Lenglen,OBJECTID
,PA15L,0
,monoxyde d azote,1
,NO,2
,microg/m3,3
2019-01-01 01:00:00Z,0,4
2019-01-01 02:00:00Z,0.200000,5
2019-01-01 03:00:00Z,0,6
2019-01-01 04:00:00Z,0,7
2019-01-01 05:00:00Z,0,8
2019-01-01 06:00:00Z,0,9
2019-01-01 07:00:00Z,0,10
2019-01-01 08:00:00Z,0,11
2019-01-01 09:00:00Z,0,12
2019-01-01 10:00:00Z,0,13
2019-01-01 11:00:00Z,0,14
2019-01-01 12:00:00Z,0,15
2019-01-01 13:00:00Z,0,16
2019-01-01 14:00:00Z,0.200000,17
2019-01-01 15:00:00Z,0,18
2019-01-01 16:00:00Z,0,19
2019-01-01 17:00:00Z,0.300000,20
2019-01-01 18:00:00Z,0.300000,21
2019-01-01 19:00:00Z,1.300000,22
2019-01-01 20:00:00Z,0.800000,23
2019-01-01 21:00:00Z,0,24
2019-01-01 22:00:00Z,0.100000,25
2019-01-01 23:00:00Z,0,26
2019-01-02 00:00:00Z,0,27
2019-01-02 01:00:00Z,0,28
2019-01-02 02:00:00Z,0,29
2019-01-02 03:00:00Z,0,30
2019-01-02 04:00:00Z,0,31
2019-01-02 05:00:00Z,0,32
2019-01-02 06:00:00Z,0,33
2019-01-02 07:00:00Z,0.300000,34
2019-01-02 08:00:00Z,1.600000,35
2019-01-02 09:00:00Z,7.500000,36
2019-01-02 10:00:00Z,3.600000,37
2019-01-02 11:00:00Z,2.800000,38
2019-01-02 12:00:00Z,3.100000,39
2019-01-02 13:00:00Z,1.500000,40
2019-01-02 14:00:00Z,1.300000,41
2019-01-02 15:00:00Z,1.100000,42
2019-01-02 16:00:00Z,0.900000,43
2019-01-02 17:00:00Z,0.400000,44
2019-01-02 18:00:00Z,0.500000,45
2019-01-02 19:00:00Z,0.900000,46
2019-01-02 20:00:00Z,0.200000,47
2019-01-02 21:00:00Z,0,48
2019-01-02 22:00:00Z,0,49
2019-01-02 23:00:00Z,0,50
2019-01-03 00:00:00Z,0,51
2019-01-03 01:00:00Z,0,52
2019-01-03 02:00:00Z,0,53
2019-01-03 03:00:00Z,0,54
2019-01-03 04:00:00Z,0,55
2019-01-03 05:00:00Z,0,56
2019-01-03 06:00:00Z,1.500000,57
2019-01-03 07:00:00Z,7.500000,58
2019-01-03 08:00:00Z,29.300000,59
2019-01-03 09:00:00Z,23.600000,60
2019-01-03 10:00:00Z,8.800000,61
2019-01-03 11:00:00Z,6.400000,62
2019-01-03 12:00:00Z,6,63
2019-01-03 13:00:00Z,6.300000,64
2019-01-03 14:00:00Z,5.100000,65
2019-01-03 15:00:00Z,3.900000,66
2019-01-03 16:00:00Z,1.600000,67
2019-01-03 17:00:00Z,0.500000,68
2019-01-03 18:00:00Z,0.400000,69
2019-01-03 19:00:00Z,0,70
2019-01-03 20:00:00Z,0.100000,71
2019-01-03 21:00:00Z,0,72
2019-01-03 22:00:00Z,0,73
2019-01-03 23:00:00Z,0,74
2019-01-04 00:00:00Z,0,75
2019-01-04 01:00:00Z,0,76
2019-01-04 02:00:00Z,0,77
2019-01-04 03:00:00Z,0,78
2019-01-04 04:00:00Z,0,79
2019-01-04 05:00:00Z,2.100000,80
2019-01-04 06:00:00Z,11.600000,81
2019-01-04 07:00:00Z,30.800000,82
2019-01-04 08:00:00Z,17.800000,83
2019-01-04 09:00:00Z,20.500000,84
2019-01-04 10:00:00Z,25.200000,85
2019-01-04 11:00:00Z,13.700000,86
2019-01-04 12:00:00Z,9.600000,87
2019-01-04 13:00:00Z,4.600000,88
2019-01-04 14:00:00Z,2.100000,89
2019-01-04 15:00:00Z,1.700000,90
2019-01-04 16:00:00Z,0.600000,91
2019-01-04 17:00:00Z,2.400000,92
2019-01-04 18:00:00Z,1.800000,93
2019-01-04 19:00:00Z,0.800000,94
2019-01-04 20:00:00Z,0.800000,95
2019-01-04 21:00:00Z,0.200000,96
2019-01-04 22:00:00Z,0,97
2019-01-04 23:00:00Z,0,98
2019-01-05 00:00:00Z,0,99
2019-01-05 01:00:00Z,0,100
2019-01-05 02:00:00Z,0,101
2019-01-05 03:00:00Z,0,102
2019-01-05 04:00:00Z,0,103
2019-01-05 05:00:00Z,0,104
2019-01-05 06:00:00Z,0,105
2019-01-05 07:00:00Z,0,106
