commerce;jour de fermeture;adresse;code postal;ville;coord_geo
Vanita Café;dimanche;66 R. MONTMARTRE;75002;PARIS;48.865724,2.344774
Le Brelan;dimanche;58 RUE BEAUBOURG;75003;PARIS;48.863043,2.354625
Le Progrès;dimanche;1 RUE DE BRETAGNE;75003;PARIS;48.861922,2.364326
Le Week-End;dimanche;42 BD HENRI IV;75004;PARIS;48.85236,2.367001
Tabac St-Germain;dimanche;54 BD SAINT-GERMAIN;75005;PARIS;48.850016,2.349435
Le Saint Mandé;dimanche;41/43 R. LINNÉ;75005;PARIS;48.846255,2.354357
Les Oliviers;dimanche;66 R. CLAUDE BERNARD;75005;PARIS;48.84016,2.346641
Le Calumet;dimanche;30 R NOTRE-DAME-DES-CHAMPS;75006;PARIS;48.845191,2.328426
Café Le Dauphine;dimanche;17 R. DAUPHINE;75006;PARIS;48.855427,2.340038
Tabac Bac St-Germain;dimanche;66 R. DU BAC;75007;PARIS;48.855676,2.325187
La Cave à Cigares;dimanche;23 AV. DE LA MOTTE-PICQUET;75007;PARIS;48.855457,2.307635
La Civette de L'Alma;dimanche;15 AV. RAPP;75007;PARIS;48.860455,2.301302
Elysée;samedi;5 R. DE MIROMESNIL;75008;PARIS;48.871624,2.315999
Tabac du Rocher;dimanche;91 R. DU ROCHER;75008;PARIS;48.880778,2.31693
La Boite à Cigares;dimanche;23 R. DE ROME;75008;PARIS;48.876307,2.323392
Le Mont Vallon;dimanche;5 R. DE VIENNE;75008;PARIS;48.876625,2.321338
La Caravelle;dimanche;14 R. D'AMSTERDAM;75009;PARIS;48.876394,2.326978
La Bouffarde Opéra;dimanche;32 RUE  CAUMARTIN;75009;PARIS;48.872552,2.328328
La Barrique;dimanche;7 RUE BEAUREPAIRE;75010;PARIS;48.869538,2.363346
Le Reilhac;mardi;63 R. DU FBG SAINT-DENIS;75010;PARIS;48.872334,2.353971
Madi's Sons;dimanche;92 RUE DE LA ROQUETTE;75011;PARIS;48.856262,2.37677
L'Amicale;dimanche;9 R. DES TROIS BORNES;75011;PARIS;48.866403,2.371709
Le 1930;dimanche;128 R. DE CHARONNE;75011;PARIS;48.855087,2.387388
Café Tabac Le Flach;dimanche;64  BD. VOLTAIRE;75011;PARIS;48.861627,2.373373
L'Étoile D'Or;dimanche;94 AVENUE PHILIPPE AUGUSTE;75011;PARIS;48.855643,2.391642
Habanos;dimanche;32 BOULEVARD RICHARD-LENOIR;75011;PARIS;48.8569,2.37127
Le Bercy;dimanche;6 RUE CHAMBERTIN;75012;PARIS;48.84005,2.380315
Le Reinit;dimanche;116 COURS DE VINCENNES;75012;PARIS;48.84673,2.410219
Tabac des Colonnes;dimanche;6 COURS DE VINCENNES;75012;PARIS;48.847655,2.399685
Tabac Soult;dimanche;76 BD. SOULT;75012;PARIS;48.844769,2.410778
Tabac des Sports;dimanche;35 AV.DE LA PORTE DE CHOISY;75013;PARIS;48.819634,2.364805
Journaux - Presse;dimanche;215 R. DE TOLBIAC;75013;PARIS;48.825648,2.347092
Maison de la Presse;dimanche;7 R. ELSA MORANTE;75013;PARIS;48.828635,2.381866
Le Naja;dimanche;56 AV. DES GOBELINS;75013;PARIS;48.833695,2.35369
Le Marijan;dimanche;20BIS BD  ARAGO;75013;PARIS;48.836037,2.348706
Maison de la Presse;dimanche;137 BD AUGUSTE BLANQUI;75013;PARIS;48.830912,2.343055
Tabac de Patay;dimanche;75 R. DE PATAY;75013;PARIS;48.826498,2.373006
La Bouffarde;dimanche;177 BD BRUNE;75014;PARIS;48.823974,2.32304
Tabac des Catacombes;dimanche;41 AV. DU GÉN. LECLERC;75014;PARIS;48.830286,2.329281
Le 7 ème Art;dimanche;84 RUE RAYMOND LOSSERAND;75014;PARIS;48.833362,2.31691
L‘Alliance;dimanche;52-56 R. DE LA CROIX-NIVERT;75015;PARIS;48.845382,2.297798
L‘Ariel;dimanche;1 R. DES MORILLONS;75015;PARIS;48.834489,2.295878
Tabac de la Tour;dimanche;33 AV. DU MAINE;75015;PARIS;48.842281,2.321236
Le Marigny;lundi;59 BD LEFEBVRE;75015;PARIS;48.831079,2.292562
Le Disque Bleu;dimanche;60 R. DU THÉÂTRE;75015;PARIS;48.848127,2.289908
Tabac de la Place;0;8 PL. FALGUIÈRE;75015;PARIS;48.83607,2.310297
Le Wilson;0;75 R. LABROUSTE;75015;PARIS;48.83169,2.306175
