Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.8565315515,2.27516715469;"{""type"": ""Point"", ""coordinates"": [2.27516715468514, 48.85653155154059]}";581;45453;97;BOULAINVILLIERS;BOULAINVILLIERS;BOULAINVILLIERS;2514;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-334;C;RER;RER C;2.0;803.0;SNCF;543181;1;0;646816.9784;6862076.775
48.6067449526,2.30205969425;"{""type"": ""Point"", ""coordinates"": [2.302059694247387, 48.60674495256192]}";588;43098;108;BRÉTIGNY;BRETIGNY;BRÉTIGNY;2557;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-184;C;RER;RER C;2.0;803.0;SNCF;545194;1;1;648544.6369;6834288.0927
48.8425280268,2.36543338473;"{""type"": ""Point"", ""coordinates"": [2.365433384726205, 48.84252802679147]}";637;43072;38;AUSTERLITZ;AUSTERLITZ;GARE D'AUSTERLITZ;2521;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-375;C;RER;RER C;2.0;803.0;SNCF;547000;1;1;653427.3992;6860462.7022
48.533732834,2.00877181387;"{""type"": ""Point"", ""coordinates"": [2.008771813873437, 48.53373283397721]}";642;43121;240;DOURDAN;DOURDAN;DOURDAN;2572;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-202;C;RER;RER C;2.0;803.0;SNCF;545525;1;0;626821.1896;6826403.4096
48.5356206226,1.99590198765;"{""type"": ""Point"", ""coordinates"": [1.995901987654022, 48.53562062256169]}";643;47095;241;DOURDAN-LA-FORÊT;DOURDAN-LA-FORET;DOURDAN-LA-FORET;2573;RER;1;0;1;0;0;0;0;RER_C;0;RER_C;0;0;0;0;A01840;;RER C;26.0;RER C-219;C;RER;RER C;2.0;803.0;SNCF;540179;1;1;625873.776;6826625.2525
48.5824855969,2.22243331383;"{""type"": ""Point"", ""coordinates"": [2.222433313832819, 48.58248559694797]}";646;415484;254;ÉGLY;EGLY;EGLY;2567;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-197;C;RER;RER C;2.0;803.0;SNCF;545475;1;0;642647.8378;6831646.1589
48.6694837261,2.3326229292;"{""type"": ""Point"", ""coordinates"": [2.332622929198995, 48.66948372610756]}";649;43076;257;ÉPINAY-SUR-ORGE;EPINAY-SUR-ORGE;EPINAY-SUR-ORGE;2554;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-158;C;RER;RER C;2.0;803.0;SNCF;545228;1;0;650856.7941;6841243.2827
48.9533964617,2.3023404202;"{""type"": ""Point"", ""coordinates"": [2.30234042019572, 48.95339646167631]}";650;43077;258;EPINAY-SUR-SEINE;EPINAY-SUR-SEINE;EPINAY-SUR-SEINE;2505;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-426;C;RER;RER C;2.0;803.0;SNCF;271148;1;0;648905.8717;6872829.7653
48.7997288253,2.18368410985;"{""type"": ""Point"", ""coordinates"": [2.183684109854235, 48.799728825343955]}";695;47883;177;CHAVILLE-VÉLIZY;CHAVILLE-VELIZY;CHAVILLE-VELIZY;2541;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-72;C;RER;RER C;2.0;803.0;SNCF;393173;1;0;640039.5422;6855826.5976
48.7479419019,2.31271101352;"{""type"": ""Point"", ""coordinates"": [2.312711013515798, 48.74794190188694]}";698;46035;179;CHEMIN D'ANTONY;CHEMIN D'ANTONY;CHEMIN D'ANTONY;2531;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01840;;RER C;26.0;RER C-303;C;RER;RER C;2.0;803.0;SNCF;546317;1;0;649466.5142;6849978.5566
