Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.3713832905,2.38720979587;"{""type"": ""Point"", ""coordinates"": [2.387209795868763, 48.371383290496624]}";664;43102;117;BUNO-GIRONVILLE;BUNO-GIRONVILLE;BUNO-GIRONVILLE;2890;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-439;D;RER;RER D;2.0;804.0;SNCF;681510;1;0;654619.1222;6808073.8169
48.6283755508,2.56958354824;"{""type"": ""Point"", ""coordinates"": [2.569583548243856, 48.62837555082434]}";857;47669;468;LIEUSAINT-MOISSY;LIEUSAINT-MOISSY;LIEUSAINT-MOISSY;2861;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-44;D;RER;RER D;2.0;804.0;SNCF;682153;1;0;668280.5752;6836551.8558
49.0493256018,2.50175806584;"{""type"": ""Point"", ""coordinates"": [2.50175806583783, 49.04932560178478]}";866;44628;482;LOUVRES;LOUVRES;LOUVRES;2608;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-259;D;RER;RER D;2.0;804.0;SNCF;276253;1;0;663577.5993;6883387.2271
49.1382863753,2.49017898542;"{""type"": ""Point"", ""coordinates"": [2.490178985421195, 49.13828637527201]}";922;411421;957;ORRY-LA-VILLE-COYE;ORRY-LA-VILLE-COYE;ORRY-LA-VILLE COYE-LA-FORÊT;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-456;D;RER;RER D;2.0;804.0;SNCF;0;0;1;662795.0403;6893286.6213
48.5351397661,2.54434895173;"{""type"": ""Point"", ""coordinates"": [2.544348951730931, 48.53513976609529]}";931;45812;672;PONTHIERRY-PRINGY;PONTHIERRY-PRINGY;PONTHIERRY-PRINGY;2901;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-46;D;RER;RER D;2.0;804.0;SNCF;682526;1;0;666361.1283;6826197.5485
49.0995869401,2.52553171398;"{""type"": ""Point"", ""coordinates"": [2.525531713983826, 49.099586940092806]}";969;47958;845;SURVILLIERS-FOSSES;SURVILLIERS-FOSSES;SURVILLIERS FOSSES;2609;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-260;D;RER;RER D;2.0;804.0;SNCF;276261;1;0;665349.0638;6888966.3711
48.5649494957,2.59455181601;"{""type"": ""Point"", ""coordinates"": [2.594551816007612, 48.564949495670916]}";675;42516;135;CESSON;CESSON;CESSON;2863;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-51;D;RER;RER D;2.0;804.0;SNCF;682161;1;0;670084.3833;6829491.1237
48.6344790233,2.45228989254;"{""type"": ""Point"", ""coordinates"": [2.452289892538953, 48.63447902331142]}";749;45745;276;ÉVRY;EVRY;EVRY;2881;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-156;D;RER;RER D;2.0;804.0;SNCF;681361;1;0;659641.4811;6837283.9201
48.8437725769,2.37391647117;"{""type"": ""Point"", ""coordinates"": [2.373916471169028, 48.84377257685859]}";759;43153;307;GARE DE LYON;GARE DE LYON;GARE DE LYON;2850;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-338;D;RER;RER D;2.0;804.0;SNCF;686006;1;1;654051.0805;6860596.114
48.6892154809,2.38352086874;"{""type"": ""Point"", ""coordinates"": [2.383520868740653, 48.68921548090552]}";777;45739;387;JUVISY;JUVISY;JUVISY;2876;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-151;D;RER;RER D;2.0;804.0;SNCF;545244;1;1;654621.7797;6843406.4803
49.126780942,2.50614368925;"{""type"": ""Point"", ""coordinates"": [2.506143689252232, 49.126780941982695]}";780;411418;958;LA BORNE BLANCHE;LA BORNE BLANCHE;LA BORNE BLANCHE;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-455;D;RER;RER D;2.0;804.0;SNCF;0;0;0;663952.0698;6891999.5617
48.3936415495,2.39341072405;"{""type"": ""Point"", ""coordinates"": [2.393410724045882, 48.39364154954011]}";786;43156;503;MAISSE;MAISSE;MAISSE;2889;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-215;D;RER;RER D;2.0;804.0;SNCF;681486;1;0;655097.3353;6810544.2371
48.5705968587,2.43209853366;"{""type"": ""Point"", ""coordinates"": [2.432098533660356, 48.57059685871919]}";805;47899;534;MENNECY;MENNECY;MENNECY;2884;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-211;D;RER;RER D;2.0;804.0;SNCF;681411;1;0;658102.6114;6830192.7879
48.7082378286,2.46228224605;"{""type"": ""Point"", ""coordinates"": [2.462282246048799, 48.70823782858777]}";899;47684;556;MONTGERON-CROSNE;MONTGERON-CROSNE;MONTGERON-CROSNE;2856;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-177;D;RER;RER D;2.0;804.0;SNCF;682104;1;0;660433.6071;6845478.9578
48.7066109469,2.48424514658;"{""type"": ""Point"", ""coordinates"": [2.484245146583624, 48.706610946895836]}";1017;43226;924;YERRES;YERRES;YERRES;2857;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-178;D;RER;RER D;2.0;804.0;SNCF;682112;1;0;662048.4782;6845287.3038
48.7083664326,2.4143588798;"{""type"": ""Point"", ""coordinates"": [2.414358879800507, 48.708366432595284]}";1056;45735;893;VIGNEUX-SUR-SEINE;VIGNEUX-SUR-SEINE;VIGNEUX-SUR-SEINE;2875;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-176;D;RER;RER D;2.0;804.0;SNCF;681304;1;0;656907.474;6845518.3391
48.7452308194,2.43834423916;"{""type"": ""Point"", ""coordinates"": [2.438344239163614, 48.7452308194081]}";1061;46304;902;VILLENEUVE-TRIAGE;VILLENEUVE-TRIAGE;VILLENEUVE TRIAGE;2854;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-423;D;RER;RER D;2.0;804.0;SNCF;681809;1;0;658701.4828;6849604.0817
48.9637554296,2.3721031384;"{""type"": ""Point"", ""coordinates"": [2.372103138402568, 48.96375542962027]}";275;43179;643;PIERREFITTE-STAINS;PIERREFITTE-STAINS;PIERREFITTE STAINS;2603;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-415;D;RER;RER D;2.0;804.0;SNCF;271163;1;0;654024.0938;6873938.8178
48.4344906129,2.37667281716;"{""type"": ""Point"", ""coordinates"": [2.376672817155075, 48.43449061285579]}";587;47895;106;BOUTIGNY-SUR-ESSONNE;BOUTIGNY-SUR-ESSONNE;BOUTIGNY-SUR-ESSONNE;2888;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-214;D;RER;RER D;2.0;804.0;SNCF;681478;1;0;653894.1826;6815094.2882
48.3416635419,2.37881544334;"{""type"": ""Point"", ""coordinates"": [2.378815443343739, 48.341663541919765]}";591;43092;81;BOIGNEVILLE;BOIGNEVILLE;BOIGNEVILLE;2891;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-216;D;RER;RER D;2.0;804.0;SNCF;684407;1;0;653971.4951;6804775.4459
48.699732433,2.50607815457;"{""type"": ""Point"", ""coordinates"": [2.506078154570986, 48.699732433010006]}";661;58873;114;BRUNOY;BRUNOY;BRUNOY;2858;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-179;D;RER;RER D;2.0;804.0;SNCF;682120;1;0;663650.2424;6844512.2937
48.8618222746,2.34701268722;"{""type"": ""Point"", ""coordinates"": [2.347012687216213, 48.86182227459668]}";691;45102;170;CHÂTELET-LES HALLES;CHATELET-LES HALLES;CHÂTELET-LES HALLES;2600;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-326;D;RER;RER D;2.0;804.0;RATP;999903;1;1;652093.2251;6862619.0668
48.6134279136,2.4729336491;"{""type"": ""Point"", ""coordinates"": [2.472933649102296, 48.61342791358872]}";712;43115;207;CORBEIL-ESSONNES;CORBEIL-ESSONNES;CORBEIL ESSONNES;2885;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-205;D;RER;RER D;2.0;804.0;SNCF;681007;1;1;661146.9909;6834933.3117
49.023161999,2.46216896477;"{""type"": ""Point"", ""coordinates"": [2.462168964768088, 49.0231619990249]}";720;47876;333;GOUSSAINVILLE;GOUSSAINVILLE;GOUSSAINVILLE;2606;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-257;D;RER;RER D;2.0;804.0;SNCF;276246;1;0;660663.7876;6880496.5332
48.6055558264,2.46245649278;"{""type"": ""Point"", ""coordinates"": [2.462456492779696, 48.60555582637839]}";746;45759;270;ESSONNES-ROBINSON;ESSONNES-ROBINSON;ESSONNES ROBINSON;2896;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-206;D;RER;RER D;2.0;804.0;SNCF;681601;1;0;660368.7153;6834063.3879
48.8807689583,2.35711533495;"{""type"": ""Point"", ""coordinates"": [2.357115334947971, 48.88076895833307]}";762;43233;310;GARE DU NORD;GARE DU NORD;GARE DU NORD;2601;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-384;D;RER;RER D;2.0;804.0;SNCF;271007;1;1;652851.5476;6864719.7198
48.6233322411,2.45140909559;"{""type"": ""Point"", ""coordinates"": [2.451409095593275, 48.62333224107222]}";834;45850;428;LE BRAS-DE-FER;LE BRAS-DE-FER;LE BRAS DE FER;2895;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-204;D;RER;RER D;2.0;804.0;SNCF;681395;1;0;659567.9704;6836045.1779
49.0331827681,2.47803336649;"{""type"": ""Point"", ""coordinates"": [2.478033366491635, 49.03318276813803]}";852;47968;452;LES NOUES;LES NOUES;LES NOUES;2607;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-258;D;RER;RER D;2.0;804.0;SNCF;276238;1;0;661831.4374;6881603.1593
48.636351368,2.40779628752;"{""type"": ""Point"", ""coordinates"": [2.407796287520861, 48.63635136800817]}";919;48489;609;ORANGIS-BOIS DE L'ÉPINE;ORANGIS-BOIS DE L'EPINE;ORANGIS BOIS DE L'ÉPINE;2893;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-166;D;RER;RER D;2.0;804.0;SNCF;681346;1;0;656364.5495;6837515.7346
48.595563838,2.58394771106;"{""type"": ""Point"", ""coordinates"": [2.58394771106125, 48.59556383799176]}";955;47665;787;SAVIGNY-LE-TEMPLE-NANDY;SAVIGNY-LE-TEMPLE-NANDY;SAVIGNY-LE-TEMPLE-NANDY;2862;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-50;D;RER;RER D;2.0;804.0;SNCF;682187;1;0;669319.9086;6832898.5028
48.9344555451,2.3456043782;"{""type"": ""Point"", ""coordinates"": [2.34560437819629, 48.93445554506131]}";992;43197;816;SAINT-DENIS;SAINT-DENIS;SAINT-DENIS;2602;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-416;D;RER;RER D;2.0;804.0;SNCF;271015;1;1;652056.8409;6870696.4072
48.5644858692,2.54265182272;"{""type"": ""Point"", ""coordinates"": [2.542651822724328, 48.56448586921834]}";995;45814;819;SAINT-FARGEAU;SAINT-FARGEAU;SAINT-FARGEAU;2900;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-45;D;RER;RER D;2.0;804.0;SNCF;682542;1;0;666254.7325;6829460.5057
48.5151514532,2.59930426593;"{""type"": ""Point"", ""coordinates"": [2.599304265926133, 48.515151453241586]}";1015;47967;921;VOSVES;VOSVES;VOSVES;2903;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;C01728;RER D;27.0;RER D-48;D;RER;RER D;2.0;804.0;SNCF;682500;1;0;670406.944;6823953.6013
49.1873335365,2.45952008111;"{""type"": ""Point"", ""coordinates"": [2.459520081112193, 49.187333536549296]}";1098;411428;1052;CHANTILLY-GOUVIEUX;CHANTILLY-GOUVIEUX;CHANTILLY GOUVIEUX;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01842;;RER D;27.0;RER D-501;D;RER;RER D;2.0;804.0;SNCF;0;0;0;660595.0349;6898756.759
