Geo Point;Geo Shape;OBJECTID;id_ref_zdl;gares_id;nom_gare;nomlong;nom_iv;num_mod;mode_;fer;train;rer;metro;tramway;navette;val;terfer;tertrain;terrer;termetro;tertram;ternavette;terval;idrefliga;idrefligc;ligne;cod_ligf;ligne_code;indice_lig;reseau;res_com;cod_resf;res_stif;exploitant;num_psr;idf;principal;x;y
48.805770376,2.61939577899;"{""type"": ""Point"", ""coordinates"": [2.619395778989611, 48.80577037600948]}";647;43074;963;ÉMERAINVILLE-PONTAULT-COMBAULT;EMERAINVILLE-PONTAULT-COMBAULT;EMERAINVILLE PONTAULT-COMBAULT;2939;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-9;E;RER;RER E;2.0;805.0;SNCF;116046;1;0;672046.5097;6856255.7855
48.8809135284,2.35883323697;"{""type"": ""Point"", ""coordinates"": [2.358833236973675, 48.880913528354796]}";870;58572;490;MAGENTA;MAGENTA;MAGENTA;2949;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-452;E;RER;RER E;2.0;805.0;SNCF;0;1;0;652977.6644;6864734.7707
48.8823040049,2.48142125871;"{""type"": ""Point"", ""coordinates"": [2.481421258708739, 48.882304004855996]}";980;42356;747;ROSNY-BOIS-PERRIER;ROSNY-BOIS-PERRIER;ROSNY BOIS PERRIER;2930;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-359;E;RER;RER E;2.0;805.0;SNCF;113696;1;0;661968.9812;6864823.3621
48.8966738112,2.37412297553;"{""type"": ""Point"", ""coordinates"": [2.37412297552969, 48.89667381116845]}";1119;58498;1196;ROSA PARKS;ROSA PARKS;ROSA PARKS;0;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-1609;E;RER;RER E;2.0;805.0;SNCF;0;1;1;654112.8609;6866478.2351
48.7464523207,2.72722937143;"{""type"": ""Point"", ""coordinates"": [2.727229371429766, 48.74645232070455]}";723;43131;966;GRETZ-ARMAINVILLIERS;GRETZ-ARMAINVILLIERS;GRETZ-ARMAINVILLIERS;2943;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-12;E;RER;RER E;2.0;805.0;SNCF;116012;1;1;679943.5306;6849627.6575
48.8248485695,2.51185555209;"{""type"": ""Point"", ""coordinates"": [2.511855552089056, 48.82484856949332]}";847;58267;446;LES BOULLEREAUX-CHAMPIGNY;LES BOULLEREAUX-CHAMPIGNY;LES BOULLEREAUX CHAMPIGNY;2926;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-353;E;RER;RER E;2.0;805.0;SNCF;113779;1;0;664161.4174;6858420.5153
48.8981123054,2.4003617059;"{""type"": ""Point"", ""coordinates"": [2.400361705897445, 48.89811230539477]}";875;43176;620;PANTIN;PANTIN;PANTIN;2932;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-374;E;RER;RER E;2.0;805.0;SNCF;113209;1;1;656037.7708;6866623.2614
48.8393419374,2.49418805536;"{""type"": ""Point"", ""coordinates"": [2.49418805536357, 48.83934193738163]}";889;46552;593;NOGENT-LE-PERREUX;NOGENT-LE-PERREUX;NOGENT LE PERREUX;2927;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-354;E;RER;RER E;2.0;805.0;SNCF;113746;1;0;662874.6459;6860040.2009
48.8966524511,2.45836341065;"{""type"": ""Point"", ""coordinates"": [2.458363410652066, 48.89665245113792]}";918;44201;599;NOISY-LE-SEC;NOISY-LE-SEC;NOISY-LE-SEC;2931;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-360;E;RER;RER E;2.0;805.0;SNCF;113217;1;0;660288.9576;6866430.2001
48.8232666341,2.54267979538;"{""type"": ""Point"", ""coordinates"": [2.542679795377867, 48.82326663412927]}";1008;43223;912;VILLIERS-SUR-MARNE-PLESSIS-TRÉVISE;VILLIERS-SUR-MARNE-PLESSIS-TREVISE;VILLIERS-SUR-MARNE LE PLESSIS-TREVISE;2925;RER;1;0;1;0;0;0;0;0;0;0;0;0;0;0;A01843;;RER E;28.0;RER E-418;E;RER;RER E;2.0;805.0;SNCF;113795;1;0;666423.4264;6858231.0716
